Date,AAK.ST,AKEL-D.ST,ALFA.ST,ALIV-SDB.ST,ASSA-B.ST,ATCO-B.ST,AXFO.ST,BALD-B.ST,BEIJ-B.ST,BOL.ST,CAST.ST,EPI-A.ST,EQT.ST,ERIC-B.ST,ESSITY-B.ST,EVO.ST,FABG.ST,GETI-B.ST,HEXA-B.ST,HM-B.ST,HOLM-B.ST,INDT.ST,INDU-A.ST,INVE-B.ST,KINV-B.ST,LATO-B.ST,LIFCO-B.ST,LUND-B.ST,NCC-B.ST,NDA-SE.ST,PEAB-B.ST,SAAB-B.ST,SAGA-B.ST,SAND.ST,SAVE.ST,SCA-B.ST,SEB-A.ST,SECT-B.ST,SHB-A.ST,SKA-B.ST,SKF-B.ST,SOBI.ST,SSAB-B.ST,SWEC-B.ST,SWED-A.ST,TELIA.ST,VOLCAR-B.ST,VOLV-B.ST
2010-01-04,20.578026745343436,,71.53851066691752,292.6778974609375,35.19490731080023,10.795483560603692,28.658274776306207,2.069443941116333,6.2711485470709025,59.03120400409195,31.337295618948183,,,41.411867113290846,,,13.850520079328248,69.36361197655881,12.546551029709962,106.42023468017578,57.53983688354493,11.350700472100032,56.325840396775725,21.648367522474572,33.72381224512853,17.385172839413322,,76.32540130615234,30.801063847386512,64.94969896730638,21.024395528435058,20.577055898844307,,55.52620697765726,,5.082161511506457,21.091421409301077,5.253847202181363,33.173225975487185,65.12386744536475,74.19838336408073,24.018400192260742,50.072278443741695,10.966744188612198,29.37197554096434,20.53010363261057,,40.6091106385869
2010-01-05,20.968746053052314,,72.75468139636611,292.2117281652023,36.009841634409604,10.858276644525573,28.65827846847268,2.1805551052093506,6.344282287150199,61.26483463883308,31.768044121073284,,,42.22879117418283,,,14.2453843274813,70.8362008100633,12.930328593207602,106.65279949072635,57.69577972412109,11.602938850636539,58.886103729081285,21.972693828975455,34.349775603812894,18.37984413470862,,76.63906733891736,32.04621492739675,65.21588876021875,21.569309912937005,20.357680878639737,,56.352105308564305,,5.1026925283692455,21.60009805799567,5.015035359543206,33.70593938213316,65.39012248465433,75.03274397573654,25.21504783630371,51.99468798190685,10.966744188612198,29.4941004153574,20.768136169234474,,41.857612946235015
2010-01-07,21.164107593900418,,72.96928798546237,296.4063124953274,35.62783826328513,10.761228611856987,28.455024229783874,2.194443941116333,6.3077144449714995,63.27507429439628,31.983422907842666,,,43.23423958352385,,,14.154262501549374,70.32840667555806,12.989370874430783,105.36977672569094,58.63137591326679,11.644977490825902,58.246037384199965,21.875394727406302,34.8974916374509,18.55283214364733,,76.53451500202047,32.111748226878746,65.03844734872055,21.61471939086914,20.88416991707625,,55.145008900173394,,5.105972624193361,21.341051147043146,4.955332293462039,33.786653044100696,64.59137048435895,73.48320937930957,25.64242172241211,51.905271955951925,11.222977638244629,29.534813152901112,20.29207489394422,,42.481858934866295
2010-01-08,21.880435241167312,,74.9723731374235,295.47415108925446,35.424106053296015,10.858276369657997,28.387269801867564,2.2152769565582275,6.325999884507784,66.30640325207007,31.121917630006514,,,43.83121919535974,,,14.306129307709758,69.92218138580077,13.373146047440462,105.12918706735579,59.255115203463134,11.560898258483453,58.8860969543457,22.086202458927072,35.67995071411133,19.547510147094727,,75.90717992913233,32.43941794838119,65.21590657673572,21.75094142871914,20.70867553499779,,55.90738529180106,,5.095389200097335,21.901540506572623,5.050856455928565,33.18937269854634,65.65636103335788,73.84080170303093,25.300521850585938,52.352347520862686,11.069238710541573,29.840133121217114,20.27223907536661,,43.53323516825968
2010-01-11,22.14091786663796,,75.75929578676421,300.6006676042583,36.06077757028133,10.972456932067871,28.387273462149206,2.201387882232666,6.16144936917793,66.81694917808579,31.014224856411296,,,43.57986116612622,,,14.245382337531572,71.09008407189658,13.550275234757313,106.19839032001356,60.65853666570869,11.581916677721193,59.20613008996715,22.13485097792768,35.99292645285587,19.893483778016755,,76.74362097846137,32.37388377225134,65.30462831982854,21.6601222174617,20.664800688297223,,57.08270933255564,,5.32290934954595,22.84354838060144,4.907569885253906,33.07637946413785,66.2953419502663,75.33072607818816,24.87314796447754,53.20180051625137,11.376716286433302,29.677292395928816,20.60945120212088,,43.6974993034899
2010-01-12,22.27115715499473,,75.0439061060014,298.7364807128906,35.90797348860856,10.961036079264236,28.319522186763823,2.1805551052093506,6.179731907397842,66.05113865857449,30.798852727272095,,,43.328499327618296,,,14.184634295509628,70.83618593108612,13.107455359263065,107.90913058513874,59.56698381900787,11.960273800791034,59.5261737686115,22.069988744142968,36.3059111509638,19.720493575566497,,75.27984917914117,31.915143379670894,66.01446351210198,21.342261331260254,20.79642161570253,,56.70152389598329,,5.381112233687416,22.749340822753812,5.050857007764389,32.73737848690191,66.34860235426122,75.15193812912037,25.385995864868164,53.47003916127664,11.274223979360212,29.412679384265132,20.252406199098914,,43.76321571004278
2010-01-13,22.271156819124467,,73.54160987882697,296.4062228307455,34.91477115971278,10.80690175192429,28.319522694514543,2.194443941116333,6.198015346241726,63.81751251220703,29.93734540070008,,,43.139977471194534,,,14.002391758067672,70.02372833357114,12.75320150869648,107.13393383503961,60.0347785949707,11.771096279483789,57.605959929567476,21.72944880653498,34.97574234008789,19.115043108442187,,74.65251710264832,30.997669358404597,66.4581240599413,20.888170347174693,21.01579578752922,,54.82734443460442,,5.280581183808544,22.137042477253168,4.979214050660501,32.479097293571485,64.6978707851198,73.78121091936057,24.44577407836914,52.26293380049923,11.274220872867945,28.80203973138112,19.954863574361838,,42.48186124031675
2010-01-14,22.661876685731627,,74.25699466837763,300.1346200575851,35.60236883160724,11.075214318265191,28.387269801867564,2.222222089767456,6.380847754224113,65.41296582251131,29.72196578979492,,,44.49105403104393,,,13.789776938384636,74.49225942110905,12.812243837640162,109.19215959391377,60.19072568352847,11.897217123143077,58.24602653566471,21.924039123393165,35.21046876971537,19.85023275598303,,74.75707118430834,31.128731272796287,67.0792007446289,21.11521898941637,21.58616177362854,,56.06620966181926,,5.518683845103236,22.749345503520242,5.003095363780705,32.947232483533256,65.2836079511203,74.73475525076563,24.274824142456055,54.09593349184153,11.479206734102034,29.412687950235696,19.954870152185464,,42.843269436814055
2010-01-15,22.33627757039396,,72.03929138183594,295.9402200978273,35.60237443267043,11.063796688287242,28.455026626586914,2.2083330154418945,6.435697078704833,64.45570455614042,29.829659073150832,,,45.21370838074431,,,13.759400367736815,77.08195897937762,12.753201484680176,107.1874008178711,58.631383629484546,11.939254912574143,58.88610738400277,22.05377174575976,35.132230993390706,19.979975269886122,,74.44341029526493,31.52192921258545,67.34538829961228,21.069805569500083,22.288146995490923,,55.30382667733923,,5.571595428680745,22.697531408560334,4.955332293462039,32.6082280507997,65.07061212038339,75.09234487691683,24.274824142456055,54.05123642710269,12.247903077695195,29.61622753221258,20.014377433426297,,42.908983051671704
2010-01-18,22.27115958668648,,72.11082093543494,290.8136222593246,34.63464053479172,10.8982416316287,28.726025767942627,2.291666030883789,6.417413577665147,65.15769643195499,30.15272152085425,,,44.61673404976673,,,13.759400351347763,78.2498792569285,12.812244087861085,107.21413421630861,56.29236834427772,12.10741482892174,57.92600567961392,21.859175768627193,34.97573445152268,20.239454072097253,,73.81607818603516,31.9151425615565,65.48210223400605,20.888169555766687,21.937154024970795,,54.98618290790463,,5.460480676170325,22.523265263347337,4.931450510521903,32.23695351940968,64.69785643017981,74.31757066797108,24.10387420654297,53.42532164634806,11.99167322646526,28.94451639801051,19.97469916849383,,42.87612051712839
