Date,AAK.ST,AKEL-D.ST,ALFA.ST,ALIV-SDB.ST,ASSA-B.ST,ATCO-B.ST,AXFO.ST,BALD-B.ST,BEIJ-B.ST,BOL.ST,CAST.ST,EPI-A.ST,EQT.ST,ERIC-B.ST,ESSITY-B.ST,EVO.ST,FABG.ST,GETI-B.ST,HEXA-B.ST,HM-B.ST,HOLM-B.ST,INDT.ST,INDU-A.ST,INVE-B.ST,KINV-B.ST,LATO-B.ST,LIFCO-B.ST,LUND-B.ST,NCC-B.ST,NDA-SE.ST,PEAB-B.ST,SAAB-B.ST,SAGA-B.ST,SAND.ST,SAVE.ST,SCA-B.ST,SEB-A.ST,SECT-B.ST,SHB-A.ST,SKA-B.ST,SKF-B.ST,SOBI.ST,SSAB-B.ST,SWEC-B.ST,SWED-A.ST,TELIA.ST,VOLCAR-B.ST,VOLV-B.ST
2010-01-04,20.83850860595703,,72.46851348876953,291.2797546386719,35.90797424316406,10.852572441101074,28.455026626586914,2.1805551052093506,6.289432048797607,60.85000228881836,31.66036033630371,,,42.0402717590332,,,14.1846342086792,70.83618927001953,12.841764450073242,106.42023468017578,57.53983688354492,11.560897827148438,57.92600631713867,21.940256118774414,34.19328689575195,18.250106811523438,,76.32540130615234,32.11174774169922,65.21588897705078,21.569305419921875,20.182186126708984,,56.22504806518555,,5.07951545715332,21.472932815551758,5.015035629272461,33.5767936706543,65.3901138305664,74.85395050048828,25.55694580078125,51.68174362182617,11.120484352111816,29.249845504760742,20.649118423461914,,41.4962043762207
2010-01-05,21.03386688232422,,72.25391387939453,295.47406005859375,36.11170959472656,10.835440635681152,28.387279510498047,2.194443941116333,6.179732799530029,63.37081527709961,31.983421325683594,,,43.1713981628418,,,14.063139915466309,70.53153228759766,13.136977195739746,105.85089874267578,58.4754524230957,11.623958587646484,58.566070556640625,22.053773880004883,34.584510803222656,18.336597442626953,,76.32540130615234,32.11174774169922,65.34898376464844,21.61471939086914,20.006685256958008,,55.90739059448242,,5.100682258605957,21.383438110351562,4.931451797485352,33.738224029541016,64.96412658691406,73.90039825439453,25.385995864868164,51.86056900024414,11.120484352111816,29.57552146911621,20.62928581237793,,42.54757308959961
2010-01-07,21.815311431884766,,74.47159576416016,292.2118835449219,35.373172760009766,10.795482635498047,28.251771926879883,2.222222089767456,6.252865314483643,66.11495208740234,31.01422882080078,,,43.92548370361328,,,14.215010643005371,69.92218017578125,13.314105033874512,104.96882629394531,58.94324493408203,11.560897827148438,58.566070556640625,21.988908767700195,35.366966247558594,19.37451934814453,,75.80262756347656,32.24281692504883,64.72789001464844,21.61471939086914,20.489301681518555,,55.71678924560547,,5.074225902557373,21.7131404876709,4.919510364532471,33.02794647216797,65.12386322021484,73.60240173339844,25.300521850585938,52.35234451293945,11.222977638244629,29.636587142944336,20.153223037719727,,43.204673767089844
2010-01-08,22.01067543029785,,75.11544799804688,299.6685791015625,36.03530502319336,10.829731941223145,28.31951904296875,2.201387882232666,6.161450386047363,66.05113220214844,30.798852920532227,,,43.73695755004883,,,14.1846342086792,70.73463439941406,13.461709976196289,104.88861846923828,60.346656799316406,11.581918716430664,58.8860969543457,22.021339416503906,35.67995071411133,19.547510147094727,,76.32540130615234,32.11174774169922,65.17153930664062,21.569305419921875,20.620925903320312,,56.66975402832031,,5.307035446166992,22.490291595458984,4.907569885253906,33.06023025512695,65.922607421875,74.85395050048828,24.9586238861084,52.44176483154297,11.376716613769531,29.45339012145996,20.490434646606445,,43.33610153198242
2010-01-11,22.336278915405273,,75.11544799804688,297.80438232421875,36.391841888427734,10.972456932067871,28.251771926879883,2.2083330154418945,6.1980156898498535,65.92350769042969,30.691160202026367,,,43.297080993652344,,,14.1846342086792,70.32840728759766,13.048412322998047,108.01603698730469,59.41106033325195,11.939252853393555,58.8860969543457,22.021339416503906,36.071170806884766,19.547510147094727,,75.27984619140625,31.65300750732422,65.52645111083984,21.296850204467773,20.796422958374023,,57.0191764831543,,5.359947681427002,22.754058837890625,4.907569885253906,32.73738098144531,66.08234405517578,74.91354370117188,25.21504783630371,53.47004318237305,11.325469970703125,29.31090545654297,20.331748962402344,,43.96034240722656
2010-01-12,22.075796127319336,,73.32698059082031,298.7364807128906,34.7619743347168,10.829731941223145,28.11627197265625,2.1805551052093506,6.143165588378906,64.00897979736328,30.15272331237793,,,43.1713981628418,,,14.002389907836914,70.02372741699219,12.841764450073242,107.74874877929688,59.87885284423828,11.792115211486816,57.7659912109375,21.810531616210938,35.13222885131836,19.115039825439453,,74.75707244873047,31.25979995727539,66.54683685302734,21.024396896362305,21.059667587280273,,55.303836822509766,,5.264706611633301,22.556230545043945,4.979213714599609,32.68894958496094,64.91087341308594,74.07919311523438,24.531248092651367,52.17352294921875,11.376716613769531,29.066648483276367,20.034212112426758,,42.58042907714844
2010-01-13,22.53163719177246,,73.68468475341797,297.33831787109375,35.39863586425781,11.029547691345215,28.251771926879883,2.2152769565582275,6.216299533843994,63.81751251220703,29.614280700683594,,,44.145423889160156,,,13.759400367736816,71.80097961425781,12.664637565612793,108.89811706542969,60.0347785949707,11.876194953918457,57.285926818847656,21.842960357666016,34.97574234008789,19.547510147094727,,74.75707244873047,30.93213653564453,66.67994689941406,21.024396896362305,21.41066551208496,,55.780311584472656,,5.476354122161865,22.46674346923828,5.0030951499938965,32.83423614501953,64.85762023925781,74.31758117675781,24.189350128173828,53.380615234375,11.479206085205078,29.025943756103516,19.736669540405273,,42.35043716430664
2010-01-14,22.140913009643555,,73.39852905273438,297.80438232421875,35.39863586425781,11.09804916381836,28.31951904296875,2.222222089767456,6.581963539123535,64.20043182373047,29.721965789794922,,,44.899513244628906,,,13.607532501220703,76.67574310302734,12.664637565612793,108.3902587890625,58.31951141357422,11.85517692565918,58.08600997924805,21.940256118774414,35.053977966308594,19.97997283935547,,74.44340515136719,31.25979995727539,67.0792007446289,20.97899055480957,22.24427604675293,,55.97091293334961,,5.539848327636719,22.60804557800293,5.015035629272461,32.479095458984375,65.07061004638672,74.97314453125,24.274824142456055,53.648860931396484,12.094164848327637,29.473752975463867,19.875526428222656,,42.81041717529297
2010-01-15,22.27115821838379,,72.03929138183594,292.6778869628906,34.685577392578125,10.881112098693848,28.455026626586914,2.2777769565582275,6.435697078704834,64.71097564697266,30.04503631591797,,,44.74240493774414,,,13.759400367736816,77.6913070678711,12.753201484680176,107.1874008178711,55.824562072753906,12.107414245605469,57.7659912109375,21.810531616210938,34.741004943847656,20.023221969604492,,73.81607818603516,31.718530654907227,65.4820785522461,20.84276008605957,21.937152862548828,,55.049705505371094,,5.434024810791016,22.37725067138672,4.919510364532471,32.20466232299805,64.48487091064453,73.95999908447266,23.76197624206543,53.20179748535156,11.991671562194824,28.924165725708008,19.720806121826172,,42.54757308959961
2010-01-18,22.79212188720703,,72.46851348876953,288.9494323730469,34.40544128417969,10.972456932067871,29.064775466918945,2.3611109256744385,6.435697078704834,67.8380355834961,30.475786209106445,,,44.459632873535156,,,14.12388801574707,78.91000366210938,12.782722473144531,107.2141342163086,55.980499267578125,12.548830032348633,58.40605545043945,21.8916072845459,35.60169982910156,20.06646728515625,,73.81607818603516,32.04621124267578,65.08281707763672,20.84276008605957,22.112651824951172,,54.795589447021484,,5.571595191955566,22.60804557800293,4.8717474937438965,31.962528228759766,64.43161010742188,74.436767578125,24.616724014282227,53.55944061279297,12.247904777526855,28.63919448852539,19.935028076171875,,43.69750213623047
